Concatenate,Year,Pasture Name,Pasture,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase
2017_15E_TGM_TRM_11,2017,NA,15E,TRM,TRM,11,2017-07-26T00:00:00Z,5,8.48,63.85,7.5,1.49,0.01,NA,NA,Loamy,207,0,NA,30,206,2-middle
2017_19N_TGM_TRM_11,2017,NA,19N,TRM,TRM,11,2017-07-26T00:00:00Z,5,8.75,64.94,7.4,1.42,0.39,NA,NA,Sandy,207,0,NA,30,206,2-middle
2017_25SE_TGM_Paired TRM_11,2017,NA,25SE,TRM,Paired TRM,11,2017-07-26T00:00:00Z,5,9.46,63.08,6.7,1.63,0.25,NA,NA,Mixed,207,0,NA,30,206,2-middle
2017_7NW_TGM_TRM_11,2017,NA,7NW,TRM,TRM,11,2017-07-26T00:00:00Z,5,8.76,64.07,7.3,1.54,0.22,NA,NA,Mixed,207,0,NA,30,206,2-middle
2017_25NW_AGM_CARM_12,2017,Crossroads,25NW,CARM,CARM,12,2017-08-02T00:00:00Z,5,8.35,64.03,7.7,1.72,0.08,NA,NA,Mixed,214,18.796,NA,31,213,2-middle
2017_15E_TGM_TRM_12,2017,NA,15E,TRM,TRM,12,2017-08-02T00:00:00Z,5,8.89,63.38,7.1,1.61,0.05,NA,NA,Loamy,214,18.796,NA,31,213,2-middle
2017_19N_TGM_TRM_12,2017,NA,19N,TRM,TRM,12,2017-08-02T00:00:00Z,5,9.37,65.13,7,1.72,0.36,NA,NA,Sandy,214,18.796,NA,31,213,2-middle
2017_25SE_TGM_Paired TRM_12,2017,NA,25SE,TRM,Paired TRM,12,2017-08-02T00:00:00Z,5,8.45,62.39,7.4,1.64,0.2,NA,NA,Mixed,214,18.796,NA,31,213,2-middle
2017_7NW_TGM_TRM_12,2017,NA,7NW,TRM,TRM,12,2017-08-02T00:00:00Z,5,9.05,62.69,6.9,1.6,0.13,NA,NA,Mixed,214,18.796,NA,31,213,2-middle
2017_26W_AGM_CARM_14,2017,Hilltank,26W,CARM,CARM,14,2017-08-15T00:00:00Z,6,8.8,63.92,7.3,1.59,0.01,NA,NA,Loamy,227,2.2859999999999996,NA,33,226,3-late
2017_15E_TGM_TRM_14,2017,NA,15E,TRM,TRM,14,2017-08-15T00:00:00Z,6,8.34,63.38,7.6,1.49,0.07,NA,NA,Loamy,227,2.2859999999999996,NA,33,226,3-late
2017_19N_TGM_TRM_14,2017,NA,19N,TRM,TRM,14,2017-08-15T00:00:00Z,6,8.29,61.8,7.5,1.58,0.19,NA,NA,Sandy,227,2.2859999999999996,NA,33,226,3-late
2017_26E_TGM_Paired TRM_14,2017,NA,26E,TRM,Paired TRM,14,2017-08-15T00:00:00Z,6,11.58,62.99,5.4,1.53,0.1,NA,NA,Loamy,227,2.2859999999999996,NA,33,226,3-late
2017_7NW_TGM_TRM_14,2017,NA,7NW,TRM,TRM,14,2017-08-15T00:00:00Z,6,8.64,63.64,7.4,1.56,0.12,NA,NA,Mixed,227,2.2859999999999996,NA,33,226,3-late
2017_26W_AGM_CARM_15,2017,Hilltank,26W,CARM,CARM,15,2017-08-22T00:00:00Z,6,6.85,62.71,9.2,1.55,0.01,NA,NA,Loamy,234,23.875999999999998,NA,34,233,3-late
2017_15E_TGM_TRM_15,2017,NA,15E,TRM,TRM,15,2017-08-22T00:00:00Z,6,7.95,62.21,7.8,1.71,0.05,NA,NA,Loamy,234,23.875999999999998,NA,34,233,3-late
2017_19N_TGM_TRM_15,2017,NA,19N,TRM,TRM,15,2017-08-22T00:00:00Z,6,8.84,61.71,7,1.91,0.27,NA,NA,Sandy,234,23.875999999999998,NA,34,233,3-late
2017_26E_TGM_Paired TRM_15,2017,NA,26E,TRM,Paired TRM,15,2017-08-22T00:00:00Z,6,9.94,62.2,6.3,1.87,0.17,NA,NA,Loamy,234,23.875999999999998,NA,34,233,3-late
2017_7NW_TGM_TRM_15,2017,NA,7NW,TRM,TRM,15,2017-08-22T00:00:00Z,6,8.05,62.83,7.8,1.7,0.17,NA,NA,Mixed,234,23.875999999999998,NA,34,233,3-late
2017_26W_AGM_CARM_16,2017,Hilltank,26W,CARM,CARM,16,2017-08-28T00:00:00Z,6,7.34,63.3,8.6,1.2,0.01,NA,NA,Loamy,240,2.032,NA,35,239,3-late
2017_15E_TGM_TRM_16,2017,NA,15E,TRM,TRM,16,2017-08-28T00:00:00Z,6,8.92,63.34,7.1,1.48,0.06,NA,NA,Loamy,240,2.032,NA,35,239,3-late
2017_19N_TGM_TRM_16,2017,NA,19N,TRM,TRM,16,2017-08-28T00:00:00Z,6,9.05,60.41,6.7,1.94,0.28,NA,NA,Sandy,240,2.032,NA,35,239,3-late
2017_26E_TGM_Paired TRM_16,2017,NA,26E,TRM,Paired TRM,16,2017-08-28T00:00:00Z,6,9.19,62.61,6.8,1.55,0.08,NA,NA,Loamy,240,2.032,NA,35,239,3-late
2017_7NW_TGM_TRM_16,2017,NA,7NW,TRM,TRM,16,2017-08-28T00:00:00Z,6,8.84,63.49,7.2,1.58,0.18,NA,NA,Mixed,240,2.032,NA,35,239,3-late
2017_31W_AGM_CARM_17,2017,South,31W,CARM,CARM,17,2017-09-05T00:00:00Z,7,6.84,61.66,9,1.37,0.04,NA,NA,Mixed,248,5.334,NA,36,247,3-late
2017_15E_TGM_TRM_17,2017,NA,15E,TRM,TRM,17,2017-09-05T00:00:00Z,7,8.36,63.35,7.6,1.47,0.01,NA,NA,Loamy,248,5.334,NA,36,247,3-late
2017_19N_TGM_TRM_17,2017,NA,19N,TRM,TRM,17,2017-09-05T00:00:00Z,7,8.77,60.5,6.9,2.08,0.29,NA,NA,Sandy,248,5.334,NA,36,247,3-late
2017_31E_TGM_Paired TRM_17,2017,NA,31E,TRM,Paired TRM,17,2017-09-05T00:00:00Z,7,7.85,63.03,8,1.47,0.02,NA,NA,Mixed,248,5.334,NA,36,247,3-late
2017_7NW_TGM_TRM_17,2017,NA,7NW,TRM,TRM,17,2017-09-05T00:00:00Z,7,7.35,61.88,8.4,1.41,0.13,NA,NA,Mixed,248,5.334,NA,36,247,3-late
2017_17S_AGM_CARM_18,2017,Saltflat,17S,CARM,CARM,18,2017-09-13T00:00:00Z,8,5.77,62.57,10.8,1.25,0.05,NA,NA,Sandy,256,1.016,NA,37,255,3-late
2017_15E_TGM_TRM_18,2017,NA,15E,TRM,TRM,18,2017-09-13T00:00:00Z,8,7.64,62.49,8.2,1.31,0.01,NA,NA,Loamy,256,1.016,NA,37,255,3-late
2017_19N_TGM_TRM_18,2017,NA,19N,TRM,TRM,18,2017-09-13T00:00:00Z,8,7.78,60.48,7.8,1.68,0.23,NA,NA,Sandy,256,1.016,NA,37,255,3-late
2017_17N_TGM_Paired TRM_18,2017,NA,17N,TRM,Paired TRM,18,2017-09-13T00:00:00Z,8,7.74,60.58,7.8,1.29,0.06,NA,NA,Sandy,256,1.016,NA,37,255,3-late
2017_7NW_TGM_TRM_18,2017,NA,7NW,TRM,TRM,18,2017-09-13T00:00:00Z,8,6.9,62.2,9,1.22,0.19,NA,NA,Mixed,256,1.016,NA,37,255,3-late
2017_17S_AGM_CARM_19,2017,Saltflat,17S,CARM,CARM,19,2017-09-20T00:00:00Z,8,5.05,62.37,12.4,1.1,0.07,NA,NA,Sandy,NA,NA,NA,38,262,3-late
2017_17N_TGM_Paired TRM_19,2017,NA,17N,TRM,Paired TRM,19,2017-09-20T00:00:00Z,8,4.86,61.99,12.8,1.25,0.1,NA,NA,Sandy,NA,NA,NA,38,262,3-late
2017_15E_TGM_TRM_19,2017,NA,15E,TRM,TRM,19,2017-09-20T00:00:00Z,8,7.32,61.43,8.4,1.18,0.06,NA,NA,Loamy,NA,NA,NA,38,262,3-late
2017_19N_TGM_TRM_19,2017,NA,19N,TRM,TRM,19,2017-09-20T00:00:00Z,8,6.71,62.36,9.3,1.25,0.28,NA,NA,Sandy,NA,NA,NA,38,262,3-late
2017_7NW_TGM_TRM_19,2017,NA,7NW,TRM,TRM,19,2017-09-20T00:00:00Z,8,4.72,61.89,13.1,1.18,0.11,NA,NA,Mixed,NA,NA,NA,38,262,3-late
2017_19N_TGM_TRM_20,2017,NA,19N,TRM,TRM,20,2017-09-27T00:00:00Z,9,7.4,62.23,8.4,1.19,0.39,NA,NA,Sandy,NA,NA,NA,39,269,3-late
2017_15E_TGM_TRM_20,2017,NA,15E,TRM,TRM,20,2017-09-27T00:00:00Z,9,7.35,62.06,8.4,1.12,0.07,NA,NA,Loamy,NA,NA,NA,39,269,3-late
2017_7NW_TGM_TRM_20,2017,NA,7NW,TRM,TRM,20,2017-09-27T00:00:00Z,9,5.71,62.51,10.9,1.13,0.1,NA,NA,Mixed,NA,NA,NA,39,269,3-late
2017_5E_TGM_Paired TRM_20,2017,NA,5E,TRM,Paired TRM,20,2017-09-27T00:00:00Z,9,4.63,59.34,12.8,1.13,0.14,NA,NA,Mixed,NA,NA,NA,39,269,3-late
2017_8E_AGM_CARM_20,2017,Ridgeline,8E,CARM,CARM,20,2017-09-27T00:00:00Z,9,4.89,63.36,13,1.09,0.03,NA,NA,Mixed,NA,NA,NA,39,269,3-late
2018_20NW_CARM_CARM_1,2018,Elm,20NW,CARM,CARM,1,2018-05-17T00:00:00Z,1,10.35,64.44,6.2,1.56,0.2,NA,NA,Sandy,NA,NA,NA,19,136,1-early
2018_19N_TRM_TRM_1,2018,NA,19N,TRM,TRM,1,2018-05-17T00:00:00Z,1,11,65.47,6,1.76,0.35,NA,NA,Sandy,NA,NA,NA,19,136,1-early
2018_7NW_TRM_TRM_1,2018,NA,7NW,TRM,TRM,1,2018-05-17T00:00:00Z,1,10.94,65.46,6,1.5,0.28,NA,NA,Mixed,NA,NA,NA,19,136,1-early
2018_15E_TRM_TRM_1,2018,NA,15E,TRM,TRM,1,2018-05-17T00:00:00Z,1,11.81,66.01,5.6,1.92,0.34,NA,NA,Loamy,NA,NA,NA,19,136,1-early
2018_20SE_TRM_Paired TRM_1,2018,NA,20SE,TRM,Paired TRM,1,2018-05-17T00:00:00Z,1,11.55,66,5.7,1.75,0.37,NA,NA,Sandy,NA,NA,NA,19,136,1-early
2018_20NW_CARM_CARM_2,2018,Elm,20NW,CARM,CARM,2,2018-05-24T00:00:00Z,1,7.57,62.69,8.3,1.62,0.18,NA,NA,Sandy,NA,NA,NA,20,143,1-early
2018_19N_TRM_TRM_2,2018,NA,19N,TRM,TRM,2,2018-05-24T00:00:00Z,1,8.77,63,7.2,2.01,0.43,NA,NA,Sandy,NA,NA,NA,20,143,1-early
2018_7NW_TRM_TRM_2,2018,NA,7NW,TRM,TRM,2,2018-05-24T00:00:00Z,1,11.02,66.13,6,2.11,0.36,NA,NA,Mixed,NA,NA,NA,20,143,1-early
2018_15E_TRM_TRM_2,2018,NA,15E,TRM,TRM,2,2018-05-24T00:00:00Z,1,12.84,66.38,5.2,2.22,0.42,NA,NA,Loamy,NA,NA,NA,20,143,1-early
2018_20SE_TRM_Paired TRM_2,2018,NA,20SE,TRM,Paired TRM,2,2018-05-24T00:00:00Z,1,12.24,67.34,5.5,2.21,0.41,NA,NA,Sandy,NA,NA,NA,20,143,1-early
2018_18S_CARM_CARM_3,2018,Snowfence,18S,CARM,CARM,3,2018-05-31T00:00:00Z,2,8.38,65.11,7.8,1.82,0.19,NA,NA,Sandy,NA,NA,NA,21,150,1-early
2018_7NW_TRM_TRM_3,2018,NA,7NW,TRM,TRM,3,2018-05-31T00:00:00Z,2,11.89,67.02,5.6,2.06,0.36,NA,NA,Mixed,NA,NA,NA,21,150,1-early
2018_19N_TRM_Paired TRM_3,2018,NA,19N,TRM,Paired TRM,3,2018-05-31T00:00:00Z,2,10.71,66.11,6.2,2.08,0.31,NA,NA,Sandy,NA,NA,NA,21,150,1-early
2018_15E_TRM_TRM_3,2018,NA,15E,TRM,TRM,3,2018-05-31T00:00:00Z,2,12.65,67.03,5.3,2.3,0.46,NA,NA,Loamy,NA,NA,NA,21,150,1-early
2018_18S_CARM_CARM_4,2018,Snowfence,18S,CARM,CARM,4,2018-06-07T00:00:00Z,2,7.76,63.05,8.1,1.66,0.24,NA,NA,Sandy,NA,NA,NA,22,157,1-early
2018_15E_TRM_TRM_4,2018,NA,15E,TRM,TRM,4,2018-06-07T00:00:00Z,2,12.56,60.2,4.8,1.47,0.24,NA,NA,Loamy,NA,NA,NA,22,157,1-early
2018_19N_TRM_Paired TRM_4,2018,NA,19N,TRM,Paired TRM,4,2018-06-07T00:00:00Z,2,9.2,64.19,7,1.68,0.17,NA,NA,Sandy,NA,NA,NA,22,157,1-early
2018_7NW_TRM_TRM_4,2018,NA,7NW,TRM,TRM,4,2018-06-07T00:00:00Z,2,10.56,66.5,6.3,1.89,0.35,NA,NA,Mixed,NA,NA,NA,22,157,1-early
2018_31W_CARM_CARM_5,2018,South,31W,CARM,CARM,5,2018-06-15T00:00:00Z,3,8.69,64.48,7.4,1.54,0.25,NA,NA,Mixed,NA,NA,NA,23,165,1-early
2018_15E_TRM_TRM_5,2018,NA,15E,TRM,TRM,5,2018-06-15T00:00:00Z,3,9.83,63,6.4,1.62,0.32,NA,NA,Loamy,NA,NA,NA,23,165,1-early
2018_15E_TRM_TRM_5,2018,NA,15E,TRM,TRM,5,2018-06-15T00:00:00Z,3,11.27,63.31,5.6,1.88,0.33,NA,NA,Loamy,NA,NA,NA,23,165,1-early
2018_19N_TRM_TRM_5,2018,NA,19N,TRM,TRM,5,2018-06-15T00:00:00Z,3,8.46,64.44,7.6,1.59,0.17,NA,NA,Sandy,NA,NA,NA,23,165,1-early
2018_7NW_TRM_TRM_5,2018,NA,7NW,TRM,TRM,5,2018-06-15T00:00:00Z,3,7.86,66.38,8.4,1.47,0.1,NA,NA,Mixed,NA,NA,NA,23,165,1-early
2018_31E_TRM_Paired TRM_5,2018,NA,31E,TRM,Paired TRM,5,2018-06-15T00:00:00Z,3,10.89,67.01,6.2,1.7,0.12,NA,NA,Mixed,NA,NA,NA,23,165,1-early
2018_31W_CARM_CARM_6,2018,South,31W,CARM,CARM,6,2018-06-22T00:00:00Z,3,7.74,63.49,8.2,1.33,0.28,NA,NA,Mixed,NA,NA,NA,24,172,1-early
2018_31E_TRM_Paired TRM_6,2018,NA,31E,TRM,Paired TRM,6,2018-06-22T00:00:00Z,3,9.27,65.74,7.1,1.52,0.3,NA,NA,Mixed,NA,NA,NA,24,172,1-early
2018_7NW_TRM_TRM_6,2018,NA,7NW,TRM,TRM,6,2018-06-22T00:00:00Z,3,7.87,64.75,8.2,1.43,0.24,NA,NA,Mixed,NA,NA,NA,24,172,1-early
2018_19N_TRM_TRM_6,2018,NA,19N,TRM,TRM,6,2018-06-22T00:00:00Z,3,7.87,63.27,8,1.77,0.32,NA,NA,Sandy,NA,NA,NA,24,172,1-early
2018_15E_TRM_TRM_6,2018,NA,15E,TRM,TRM,6,2018-06-22T00:00:00Z,3,8.94,63.58,7.1,1.64,0.34,NA,NA,Loamy,NA,NA,NA,24,172,1-early
2018_31W_CARM_CARM_7,2018,South,31W,CARM,CARM,7,2018-06-27T00:00:00Z,3,7.84,60.98,7.8,1.37,0.25,NA,NA,Mixed,NA,NA,NA,25,177,2-middle
2018_15E_TRM_TRM_7,2018,NA,15E,TRM,TRM,7,2018-06-27T00:00:00Z,3,8.9,61.16,6.9,1.49,0.25,NA,NA,Loamy,NA,NA,NA,25,177,2-middle
2018_19N_TRM_TRM_7,2018,NA,19N,TRM,TRM,7,2018-06-27T00:00:00Z,3,8.57,62.95,7.3,1.72,0.32,NA,NA,Sandy,NA,NA,NA,25,177,2-middle
2018_7NW_TRM_TRM_7,2018,NA,7NW,TRM,TRM,7,2018-06-27T00:00:00Z,3,8.4,63.78,7.6,1.39,0.19,NA,NA,Mixed,NA,NA,NA,25,177,2-middle
2018_31E_TRM_Paired TRM_7,2018,NA,31E,TRM,Paired TRM,7,2018-06-27T00:00:00Z,3,9.59,63,6.6,1.44,0.24,NA,NA,Mixed,NA,NA,NA,25,177,2-middle
2018_25NW_CARM_CARM_8,2018,Crossroads,25NW,CARM,CARM,8,2018-07-05T00:00:00Z,4,9.36,61.3,6.5,1.45,0.18,NA,NA,Mixed,NA,NA,NA,26,185,2-middle
2018_15E_TRM_TRM_8,2018,NA,15E,TRM,TRM,8,2018-07-05T00:00:00Z,4,9.51,60.85,6.4,1.36,0.22,NA,NA,Loamy,NA,NA,NA,26,185,2-middle
2018_19N_TRM_TRM_8,2018,NA,19N,TRM,TRM,8,2018-07-05T00:00:00Z,4,8.31,60.14,7.2,2.01,0.31,NA,NA,Sandy,NA,NA,NA,26,185,2-middle
2018_7NW_TRM_TRM_8,2018,NA,7NW,TRM,TRM,8,2018-07-05T00:00:00Z,4,7.31,61.76,8.4,1.42,0.07,NA,NA,Mixed,NA,NA,NA,26,185,2-middle
2018_25SE_TRM_Paired TRM_8,2018,NA,25SE,TRM,Paired TRM,8,2018-07-05T00:00:00Z,4,8.9,61.48,6.9,1.33,0.13,NA,NA,Mixed,NA,NA,NA,26,185,2-middle
2018_25NW_CARM_CARM_9,2018,Crossroads,25NW,CARM,CARM,9,2018-07-12T00:00:00Z,4,8.29,57.79,7,1.4,0.25,NA,NA,Mixed,NA,NA,NA,27,192,2-middle
2018_25SE_TRM_Paired TRM_9,2018,NA,25SE,TRM,Paired TRM,9,2018-07-12T00:00:00Z,4,7.53,58.72,7.8,1.31,0.25,NA,NA,Mixed,NA,NA,NA,27,192,2-middle
2018_7NW_TRM_TRM_9,2018,NA,7NW,TRM,TRM,9,2018-07-12T00:00:00Z,4,7.07,61.47,8.7,1.52,0.14,NA,NA,Mixed,NA,NA,NA,27,192,2-middle
2018_19N_TRM_TRM_9,2018,NA,19N,TRM,TRM,9,2018-07-12T00:00:00Z,4,7.74,60.19,7.8,1.98,0.33,NA,NA,Sandy,NA,NA,NA,27,192,2-middle
2018_15E_TRM_TRM_9,2018,NA,15E,TRM,TRM,9,2018-07-12T00:00:00Z,4,7.88,57.22,7.3,1.33,0.18,NA,NA,Loamy,NA,NA,NA,27,192,2-middle
2018_25NW_CARM_CARM_10,2018,Crossroads,25NW,CARM,CARM,10,2018-07-19T00:00:00Z,4,6.7,58.51,8.7,1.39,0.22,NA,NA,Mixed,NA,NA,NA,28,199,2-middle
2018_25SE_TRM_Paired TRM_10,2018,NA,25SE,TRM,Paired TRM,10,2018-07-19T00:00:00Z,4,7.94,61.49,7.7,1.43,0.09,NA,NA,Mixed,NA,NA,NA,28,199,2-middle
2018_7NW_TRM_TRM_10,2018,NA,7NW,TRM,TRM,10,2018-07-19T00:00:00Z,4,7.71,60.67,7.9,1.44,0.13,NA,NA,Mixed,NA,NA,NA,28,199,2-middle
2018_19N_TRM_TRM_10,2018,NA,19N,TRM,TRM,10,2018-07-19T00:00:00Z,4,6.93,61.59,8.9,1.67,0.19,NA,NA,Sandy,NA,NA,NA,28,199,2-middle
2018_15E_TRM_TRM_10,2018,NA,15E,TRM,TRM,10,2018-07-19T00:00:00Z,4,8.49,56.59,6.7,0.88,0.13,NA,NA,Loamy,NA,NA,NA,28,199,2-middle
2018_26W_CARM_CARM_11,2018,Hilltank,26W,CARM,CARM,11,2018-07-26T00:00:00Z,5,8.85,57.36,6.5,1.44,0.16,NA,NA,Loamy,NA,NA,NA,29,206,2-middle
2018_26E_TRM_Paired TRM_11,2018,NA,26E,TRM,Paired TRM,11,2018-07-26T00:00:00Z,5,7.49,59.81,8,1.28,0.05,NA,NA,Loamy,NA,NA,NA,29,206,2-middle
2018_7NW_TRM_TRM_11,2018,NA,7NW,TRM,TRM,11,2018-07-26T00:00:00Z,5,7.08,60.67,8.6,1.53,0.07,NA,NA,Mixed,NA,NA,NA,29,206,2-middle
2018_19N_TRM_TRM_11,2018,NA,19N,TRM,TRM,11,2018-07-26T00:00:00Z,5,6.21,60.57,9.8,1.74,0.2,NA,NA,Sandy,NA,NA,NA,29,206,2-middle
2018_15E_TRM_TRM_11,2018,NA,15E,TRM,TRM,11,2018-07-26T00:00:00Z,5,7.81,58.38,7.5,1.33,0.18,NA,NA,Loamy,NA,NA,NA,29,206,2-middle
2018_26W_CARM_CARM_12,2018,Hilltank,26W,CARM,CARM,12,2018-07-31T00:00:00Z,5,6.74,56.38,8.4,1.22,0.17,NA,NA,Loamy,NA,NA,NA,30,211,2-middle
2018_26E_TRM_Paired TRM_12,2018,NA,26E,TRM,Paired TRM,12,2018-07-31T00:00:00Z,5,7.35,58.05,7.9,1.66,0.13,NA,NA,Loamy,NA,NA,NA,30,211,2-middle
2018_7NW_TRM_TRM_12,2018,NA,7NW,TRM,TRM,12,2018-07-31T00:00:00Z,5,6.82,61.56,9,1.42,0.08,NA,NA,Mixed,NA,NA,NA,30,211,2-middle
2018_19N_TRM_TRM_12,2018,NA,19N,TRM,TRM,12,2018-07-31T00:00:00Z,5,7.2,60.4,8.4,0.6,0.07,NA,NA,Sandy,NA,NA,NA,30,211,2-middle
2018_15E_TRM_TRM_12,2018,NA,15E,TRM,TRM,12,2018-07-31T00:00:00Z,5,7.82,60,7.7,1.37,0.12,NA,NA,Loamy,NA,NA,NA,30,211,2-middle
2018_10S_CARM_CARM_13,2018,Nighthawk,10S,CARM,CARM,13,2018-08-09T00:00:00Z,6,6.01,58.58,9.7,1.02,0.15,NA,NA,Loamy,NA,NA,NA,31,220,3-late
2018_15E_TRM_Paired TRM_13,2018,NA,15E,TRM,Paired TRM,13,2018-08-09T00:00:00Z,6,6.46,57.88,9,1.3,0.19,NA,NA,Loamy,NA,NA,NA,31,220,3-late
2018_19N_TRM_TRM_13,2018,NA,19N,TRM,TRM,13,2018-08-09T00:00:00Z,6,7.6,61.8,8.1,0.69,0.16,NA,NA,Sandy,NA,NA,NA,31,220,3-late
2018_7NW_TRM_TRM_13,2018,NA,7NW,TRM,TRM,13,2018-08-09T00:00:00Z,6,5.88,61.97,10.5,1.46,0.11,NA,NA,Mixed,NA,NA,NA,31,220,3-late
2018_10S_CARM_CARM_14,2018,Nighthawk,10S,CARM,CARM,14,2018-08-16T00:00:00Z,6,5.27,55.86,10.6,1.22,0.24,NA,NA,Loamy,NA,NA,NA,32,227,3-late
2018_15E_TRM_Paired TRM_14,2018,NA,15E,TRM,Paired TRM,14,2018-08-16T00:00:00Z,6,6.79,57.94,8.5,1.32,0.2,NA,NA,Loamy,NA,NA,NA,32,227,3-late
2018_19N_TRM_TRM_14,2018,NA,19N,TRM,TRM,14,2018-08-16T00:00:00Z,6,6.07,60.28,9.9,1.29,0.13,NA,NA,Sandy,NA,NA,NA,32,227,3-late
2018_7NW_TRM_TRM_14,2018,NA,7NW,TRM,TRM,14,2018-08-16T00:00:00Z,6,6.87,60.16,8.8,1.22,0.16,NA,NA,Mixed,NA,NA,NA,32,227,3-late
2018_8E_CARM_CARM_15,2018,Ridgeline,8E,CARM,CARM,15,2018-08-24T00:00:00Z,7,6.12,61.02,10,1.33,0.18,NA,NA,Mixed,NA,NA,NA,33,235,3-late
2018_5E_TRM_Paired TRM_15,2018,NA,5E,TRM,Paired TRM,15,2018-08-24T00:00:00Z,7,5.81,64.51,11.1,1.4,0.1,NA,NA,Mixed,NA,NA,NA,33,235,3-late
2018_7NW_TRM_TRM_15,2018,NA,7NW,TRM,TRM,15,2018-08-24T00:00:00Z,7,7.05,62.22,8.8,1.39,0.19,NA,NA,Mixed,NA,NA,NA,33,235,3-late
2018_19N_TRM_TRM_15,2018,NA,19N,TRM,TRM,15,2018-08-24T00:00:00Z,7,6.76,64.54,9.5,1.29,0.1,NA,NA,Sandy,NA,NA,NA,33,235,3-late
2018_15E_TRM_TRM_15,2018,NA,15E,TRM,TRM,15,2018-08-24T00:00:00Z,7,8,57,7.1,0.71,0.21,NA,NA,Loamy,NA,NA,NA,33,235,3-late
2018_8E_CARM_CARM_16,2018,Ridgeline,8E,CARM,CARM,16,2018-08-31T00:00:00Z,7,6.28,61.06,9.7,1.35,0.24,NA,NA,Mixed,NA,NA,NA,34,242,3-late
2018_5E_TRM_Paired TRM_16,2018,NA,5E,TRM,Paired TRM,16,2018-08-31T00:00:00Z,7,6.34,59.63,9.4,1.47,0.22,NA,NA,Mixed,NA,NA,NA,34,242,3-late
2018_7NW_TRM_TRM_16,2018,NA,7NW,TRM,TRM,16,2018-08-31T00:00:00Z,7,7.22,61.01,8.5,1.39,0.18,NA,NA,Mixed,NA,NA,NA,34,242,3-late
2018_19N_TRM_TRM_16,2018,NA,19N,TRM,TRM,16,2018-08-31T00:00:00Z,7,7.63,61.89,8.1,1.25,0.11,NA,NA,Sandy,NA,NA,NA,34,242,3-late
2018_15E_TRM_TRM_16,2018,NA,15E,TRM,TRM,16,2018-08-31T00:00:00Z,7,6.65,58.1,8.7,1.26,0.22,NA,NA,Loamy,NA,NA,NA,34,242,3-late
2018_7SE_CARM_CARM_17,2018,Headquarters,7SE,CARM,CARM,17,2018-09-07T00:00:00Z,8,6.86,61.99,9,1.4,0.16,NA,NA,Mixed,NA,NA,NA,35,249,3-late
2018_19N_TRM_TRM_17,2018,NA,19N,TRM,TRM,17,2018-09-07T00:00:00Z,8,6.14,61.64,10,1.09,0.04,NA,NA,Sandy,NA,NA,NA,35,249,3-late
2018_7NW_TRM_Paired TRM_17,2018,NA,7NW,TRM,Paired TRM,17,2018-09-07T00:00:00Z,8,7.17,62.94,8.8,1.39,0.13,NA,NA,Mixed,NA,NA,NA,35,249,3-late
2018_15E_TRM_TRM_17,2018,NA,15E,TRM,TRM,17,2018-09-07T00:00:00Z,8,7.23,57.47,7.9,1.15,0.21,NA,NA,Loamy,NA,NA,NA,35,249,3-late
2018_7SE_CARM_CARM_18,2018,Headquarters,7SE,CARM,CARM,18,2018-09-14T00:00:00Z,8,5.63,58.73,10.4,1.37,0.22,NA,NA,Mixed,NA,NA,NA,36,256,3-late
2018_15E_TRM_TRM_18,2018,NA,15E,TRM,TRM,18,2018-09-14T00:00:00Z,8,6.65,56.74,8.5,1.34,0.22,NA,NA,Loamy,NA,NA,NA,36,256,3-late
2018_19N_TRM_TRM_18,2018,NA,19N,TRM,TRM,18,2018-09-14T00:00:00Z,8,6.03,60.74,10.1,1.29,0.14,NA,NA,Sandy,NA,NA,NA,36,256,3-late
2018_7NW_TRM_Paired TRM_18,2018,NA,7NW,TRM,Paired TRM,18,2018-09-14T00:00:00Z,8,6.31,60.33,9.6,1.49,0.18,NA,NA,Mixed,NA,NA,NA,36,256,3-late
2018_17S_CARM_CARM_19,2018,Salt Flat,17S,CARM,CARM,19,2018-09-21T00:00:00Z,9,4.4,61.81,14,1.38,0.09,NA,NA,Sandy,NA,NA,NA,37,263,3-late
2018_17N_TRM_Paired TRM_19,2018,NA,17N,TRM,Paired TRM,19,2018-09-21T00:00:00Z,9,5.85,59.18,10.1,1.35,0.17,NA,NA,Sandy,NA,NA,NA,37,263,3-late
2018_7NW_TRM_TRM_19,2018,NA,7NW,TRM,TRM,19,2018-09-21T00:00:00Z,9,5.71,58.76,10.3,1.59,0.19,NA,NA,Mixed,NA,NA,NA,37,263,3-late
2018_19N_TRM_TRM_19,2018,NA,19N,TRM,TRM,19,2018-09-21T00:00:00Z,9,5.93,61.06,10.3,1.24,0.1,NA,NA,Sandy,NA,NA,NA,37,263,3-late
2018_15E_TRM_TRM_19,2018,NA,15E,TRM,TRM,19,2018-09-21T00:00:00Z,9,6.69,55.73,8.3,1.32,0.25,NA,NA,Loamy,NA,NA,NA,37,263,3-late
2019_7SE_CARM_CARM_1,2019,NA,7SE,CARM,CARM,1,2019-05-24T00:00:00Z,1,8.43,64.94,7.7,1.85,0.08,NA,NA,Mixed,NA,NA,NA,20,143,1-early
